當前時間,th + td 標籤,去除a標籤
2021-07-01 21:34:31,任期:1,姓名:潘振球,備註:省立臺北成功中學校長兼任，調任臺灣省政府訓練團教育長[53]
2021-07-01 21:34:31,任期:2,姓名:薛光祖,備註:省立臺北成功中學校長兼任[54]
2021-07-01 21:34:31,任期:3,姓名:卜冠東,備註:桃園分部主任升任[15]，調任省立苗栗中學校長[55]
2021-07-01 21:34:31,任期:4,姓名:李序僧,備註:任期中輟，後任國立師範大學教授[19]
2021-07-01 21:34:31,任期:5,姓名:宋鴻域,備註:原任省立臺中第二中學校長
2021-07-01 21:34:31,任期:6,姓名:馮堯春,備註:調任省立竹山高級中學校長[56]
2021-07-01 21:34:31,任期:7,姓名:宋金印,備註:原任縣立文山中學校長[57]，著名書畫團體「武陵十友」創辦人[58]
2021-07-01 21:34:31,任期:8,姓名:侯建威,備註:原任台灣書店經理，調任臺灣省立海山高級工業職業學校校長[19]
2021-07-01 21:34:31,任期:9,姓名:陳震,備註:原任省立基隆高級中學校長[59]
2021-07-01 21:34:31,任期:10,姓名:劉永水,備註:原職桃園縣教育局，調任臺灣省立海山高級工業職業學校校長[60]
2021-07-01 21:34:31,任期:11,姓名:程為山,備註:原任省立桃園高級中學校長，調任國立苗栗高級商業職業學校
2021-07-01 21:34:31,任期:12,姓名:吳正牧,備註:原任國立中壢高級商業職業學校校長，任內退休
2021-07-01 21:34:31,任期:13,姓名:林繼生,備註:原職國立板橋高級中學[61]，任內退休
2021-07-01 21:34:31,任期:14,姓名:林清波,備註:原任國立陽明高級中學校長[61]，任滿退休
2021-07-01 21:34:31,任期:15,姓名:林煥周,備註:原任桃園市立桃園高級中等學校校長[62]。
