當前時間,當前幣別,當前匯率
2021-06-21 11:05:08,幣別:美金(USD),本行現金賣出:28.17
2021-06-21 11:05:08,幣別:港幣(HKD),本行現金賣出:3.641
2021-06-21 11:05:08,幣別:英鎊(GBP),本行現金賣出:39.47
2021-06-21 11:05:08,幣別:澳幣(AUD),本行現金賣出:21.34
2021-06-21 11:05:08,幣別:加拿大幣(CAD),本行現金賣出:22.83
2021-06-21 11:05:08,幣別:新加坡幣(SGD),本行現金賣出:21.08
2021-06-21 11:05:08,幣別:瑞士法郎(CHF),本行現金賣出:30.64
2021-06-21 11:05:08,幣別:日圓(JPY),本行現金賣出:0.2571
2021-06-21 11:05:08,幣別:南非幣(ZAR),本行現金賣出:-
2021-06-21 11:05:08,幣別:瑞典幣(SEK),本行現金賣出:3.37
2021-06-21 11:05:08,幣別:紐元(NZD),本行現金賣出:19.82
2021-06-21 11:05:08,幣別:泰幣(THB),本行現金賣出:0.9471
2021-06-21 11:05:08,幣別:菲國比索(PHP),本行現金賣出:0.6327
2021-06-21 11:05:08,幣別:印尼幣(IDR),本行現金賣出:0.00228
2021-06-21 11:05:08,幣別:歐元(EUR),本行現金賣出:33.63
2021-06-21 11:05:08,幣別:韓元(KRW),本行現金賣出:0.02676
2021-06-21 11:05:08,幣別:越南盾(VND),本行現金賣出:0.00134
2021-06-21 11:05:08,幣別:馬來幣(MYR),本行現金賣出:7.246
2021-06-21 11:05:08,幣別:人民幣(CNY),本行現金賣出:4.383
